"""Time"""	BTC / USD Denominated Closing Price	BTC / Mean Hash Rate	BTC / Difficulty
2010-07-18	0.08584	0.00044567704027758396	38.83537108022661
2010-07-19	0.08332	0.0004936993299727305	44.307431120423615
2010-07-20	0.08045857627118644	0.0005428193068293595	49.77949116062062
2010-07-21	0.0801421478667446	0.0006006534138462294	55.25155120081763
2010-07-22	0.07580767036820575	0.0006491045335730442	60.72361124101464
2010-07-23	0.07327187025131504	0.0007020775530730988	66.19567128121165
2010-07-24	0.07059588878684146	0.0007537933375146202	71.60028771573393
2010-07-25	0.06808897998246641	0.0008184594063774343	77.00490415025621
2010-07-26	0.0667457599844146	0.0008864459162884655	82.40952058477849
2010-07-27	0.06593338562244302	0.0009470659029635087	89.90313481024494
2010-07-28	0.06529499590882526	0.0010065200042170366	97.39674903571138
2010-07-29	0.06567874624975649	0.001073925422414859	104.89036326117782
2010-07-30	0.0656001797419413	0.001141722166638861	112.38397748664427
2010-07-31	0.06573915254237289	0.001217084380744121	119.87759171211071
2010-08-01	0.0654298757062147	0.0013084292536143006	127.37120593757716
2010-08-02	0.06509050847457629	0.0013995411905147967	134.86482016304362
2010-08-03	0.06479178155189605	0.0014860622552400789	142.35843438851003
2010-08-04	0.06435978147931685	0.001578639935069494	149.85204861397648
2010-08-05	0.06418295087514228	0.0016666037721518854	160.8073803421467
2010-08-06	0.06405736908240797	0.0017463083926330684	171.76271207031692
2010-08-07	0.0638167298433108	0.0018308759963946808	182.71804379848714
2010-08-08	0.0636841512140694	0.0019392499027184676	193.67337552665737
2010-08-09	0.06397614463954464	0.0020424109422399342	204.6287072548276
2010-08-10	0.06419958564679526	0.0021468954101442803	215.5840389829978
2010-08-11	0.06431160222092344	0.002257196256835868	226.53937071116803
2010-08-12	0.06453038675088793	0.0023432043544429496	236.7652169354013
2010-08-13	0.06452926131566986	0.002425195900899665	246.99106315963454
2010-08-14	0.06461737461384322	0.002542241293484856	257.2169093838678
2010-08-15	0.0646346352203793	0.002623994616997168	268.22458421361955
2010-08-16	0.06466348071303332	0.00269661091569792	279.23225904337136
2010-08-17	0.06413548071303332	0.0027542637930344734	290.23993387312316
2010-08-18	0.06370881404636666	0.0028147070860304055	301.247608702875
2010-08-19	0.06344095641924802	0.002874740673683279	312.25528353262683
2010-08-20	0.06298452766413404	0.0029761377449835087	323.26295836237864
2010-08-21	0.06324886898499903	0.003069899934091464	334.2706331921305
2010-08-22	0.06342673962594975	0.003191319904171542	345.2783080218823
2010-08-23	0.06377240629261642	0.00331509198190815	356.2859828516341
2010-08-24	0.06425438568088838	0.0034279256941273394	367.293657681386
2010-08-25	0.06454771901422171	0.003537997593346941	378.3013325111378
2010-08-26	0.0647294889343464	0.0036523262335019704	390.9404570703562
2010-08-27	0.06493245230859147	0.003764620519111117	403.57958162957465
2010-08-28	0.0647557856419248	0.003867383913308044	416.2187061887931
2010-08-29	0.0647338729203195	0.0039610743181315205	428.85783074801145
2010-08-30	0.06464801295538672	0.004032838337999306	441.4969553072299
2010-08-31	0.06461134628872006	0.0041261879945017664	454.1360798664483
2010-09-01	0.06467884054159362	0.004190433800014711	466.77520442566674
2010-09-02	0.06479176884862654	0.0042597166003158875	479.4143289848852
2010-09-03	0.06491957617377751	0.004330788446890288	492.0534535441036
2010-09-04	0.06495885203584648	0.004423276686220182	501.09431190413414
2010-09-05	0.06495814153516462	0.00450793518202917	510.13517026416474
2010-09-06	0.0650446766997857	0.004580694698962901	519.1760286241953
2010-09-07	0.06505598063510618	0.00462984462279194	528.2168869842259
