month,month_long,Daily Average POA Irradiance (kWh/m2/day),DC Array Output (kWh),AC System Output (kWh),location,country,latitude,longitude
6,Jun,7.277,680.911,649.677,Rome,Italy,41.89,12.50
7,Jul,7.663,733.649,700.335,Rome,Italy,41.89,12.50
8,Aug,6.988,668.34,638.252,Rome,Italy,41.89,12.50
9,Sep,5.474,522.33,497.994,Rome,Italy,41.89,12.50
10,Oct,4.246,427.97,407.674,Rome,Italy,41.89,12.50
11,Nov,2.615,264.868,250.984,Rome,Italy,41.89,12.50
12,Dec,2.182,233.69,221.105,Rome,Italy,41.89,12.50
1,Jan,1.224,134.7,125.935,Zurich,Switzerland,47.37,8.54
2,Feb,2.611,257.842,244.377,Zurich,Switzerland,47.37,8.54
3,Mar,3.537,372.306,353.61,Zurich,Switzerland,47.37,8.54
4,Apr,4.907,489.686,466.208,Zurich,Switzerland,47.37,8.54
5,May,5.207,527.745,501.911,Zurich,Switzerland,47.37,8.54
6,Jun,5.303,504.451,479.63,Zurich,Switzerland,47.37,8.54
7,Jul,5.526,542.058,515.648,Zurich,Switzerland,47.37,8.54
8,Aug,5.349,522.273,497.184,Zurich,Switzerland,47.37,8.54
9,Sep,4.362,427.416,406.606,Zurich,Switzerland,47.37,8.54
10,Oct,2.016,209.792,197.328,Zurich,Switzerland,47.37,8.54
11,Nov,1.301,136.119,127.133,Zurich,Switzerland,47.37,8.54
12,Dec,0.762,83.352,76.472,Zurich,Switzerland,47.37,8.54
